responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,experiment,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
2178,"100","12",1202,147,"Nu","Cristina","local_coherence"," ordinul ",128.03125,1191.734375,152.03125,1252.3125,"","","",""
2228,"100","12",1225,147,"Nu","Cristina","local_coherence"," ordinul ",128.03125,1191.734375,152.03125,1252.3125,"","","",""
2278,"100","12",1241,147,"Nu","Cristina","local_coherence"," ordinul ",128.03125,1191.734375,152.03125,1252.3125,"","","",""
2328,"100","12",1244,147,"Nu","Cristina","local_coherence"," ordinul ",128.03125,1191.734375,152.03125,1252.3125,"","","",""
2378,"100","12",1244,147,"Nu","Cristina","local_coherence"," ordinul ",128.03125,1191.734375,152.03125,1252.3125,"","","",""
2428,"100","12",1228,147,"Nu","Cristina","local_coherence"," ordinul ",128.03125,1191.734375,152.03125,1252.3125,"","","",""
2478,"100","10",1142,150,"Nu","Cristina","local_coherence"," mari ",128.03125,1116.515625,152.03125,1160.203125,"","","",""
2528,"NA",-1,968,172,"NA","Cristina","","","","","","","","","",""
2578,"NA",-1,758,174,"NA","Cristina","","","","","","","","","",""
2628,"NA",-1,677,174,"NA","Cristina","","","","","","","","","",""
2678,"NA",-1,640,180,"NA","Cristina","","","","","","","","","",""
2728,"100","13",597,189,"Nu","Cristina","local_coherence"," Laminariales), ",183.03125,595.625,207.03125,718.359375,"","","",""
2778,"NA",-1,570,199,"NA","Cristina","","","","","","","","","",""
2828,"NA",-1,562,205,"NA","Cristina","","","","","","","","","",""
2878,"NA",-1,567,205,"NA","Cristina","","","","","","","","","",""
2928,"100","13",609,199,"Nu","Cristina","local_coherence"," Laminariales), ",183.03125,595.625,207.03125,718.359375,"","","",""
2978,"100","13",677,199,"Nu","Cristina","local_coherence"," Laminariales), ",183.03125,595.625,207.03125,718.359375,"","","",""
3028,"100","14",728,199,"Nu","Cristina","local_coherence"," în ",183.03125,718.359375,207.03125,738.8125,"","","",""
3078,"100","15",768,199,"Nu","Cristina","local_coherence"," ciuda ",183.03125,738.8125,207.03125,789.078125,"","","",""
3128,"100","16",805,199,"Nu","Cristina","local_coherence"," unei ",183.03125,789.078125,207.03125,830.8125,"","","",""
3178,"100","17",840,199,"Nu","Cristina","local_coherence"," aparențe ",183.03125,830.8125,207.03125,911.765625,"","","",""
3228,"100","17",873,199,"Nu","Cristina","local_coherence"," aparențe ",183.03125,830.8125,207.03125,911.765625,"","","",""
3278,"100","17",901,199,"Nu","Cristina","local_coherence"," aparențe ",183.03125,830.8125,207.03125,911.765625,"","","",""
3328,"100","18",915,199,"Nu","Cristina","local_coherence"," superficiale, ",183.03125,911.765625,207.03125,1018.6875,"","","",""
3378,"100","18",930,198,"Nu","Cristina","local_coherence"," superficiale, ",183.03125,911.765625,207.03125,1018.6875,"","","",""
3428,"100","18",946,198,"Nu","Cristina","local_coherence"," superficiale, ",183.03125,911.765625,207.03125,1018.6875,"","","",""
3478,"100","18",970,198,"Nu","Cristina","local_coherence"," superficiale, ",183.03125,911.765625,207.03125,1018.6875,"","","",""
3528,"100","18",988,198,"Nu","Cristina","local_coherence"," superficiale, ",183.03125,911.765625,207.03125,1018.6875,"","","",""
3578,"100","18",1008,198,"Nu","Cristina","local_coherence"," superficiale, ",183.03125,911.765625,207.03125,1018.6875,"","","",""
3628,"100","19",1038,198,"Nu","Cristina","local_coherence"," nu ",183.03125,1018.6875,207.03125,1045.625,"","","",""
3678,"100","21",1073,198,"Nu","Cristina","local_coherence"," tulpini ",183.03125,1071.53125,207.03125,1129.96875,"","","",""
3728,"100","21",1095,198,"Nu","Cristina","local_coherence"," tulpini ",183.03125,1071.53125,207.03125,1129.96875,"","","",""
3784,"100","21",1119,198,"Nu","Cristina","local_coherence"," tulpini ",183.03125,1071.53125,207.03125,1129.96875,"","","",""
3828,"100","22",1130,198,"Nu","Cristina","local_coherence"," adevărate, ",183.03125,1129.96875,207.03125,1223.5,"","","",""
3878,"100","22",1149,198,"Nu","Cristina","local_coherence"," adevărate, ",183.03125,1129.96875,207.03125,1223.5,"","","",""
3928,"100","22",1174,198,"Nu","Cristina","local_coherence"," adevărate, ",183.03125,1129.96875,207.03125,1223.5,"","","",""
3984,"100","22",1196,198,"Nu","Cristina","local_coherence"," adevărate, ",183.03125,1129.96875,207.03125,1223.5,"","","",""
4028,"100","22",1218,198,"Nu","Cristina","local_coherence"," adevărate, ",183.03125,1129.96875,207.03125,1223.5,"","","",""
4078,"100","23",1248,198,"Nu","Cristina","local_coherence"," frunze, ",183.03125,1223.5,207.03125,1282.8125,"","","",""
4128,"100","23",1269,199,"Nu","Cristina","local_coherence"," frunze, ",183.03125,1223.5,207.03125,1282.8125,"","","",""
4178,"NA",-1,1290,199,"NA","Cristina","","","","","","","","","",""
4228,"NA",-1,1299,199,"NA","Cristina","","","","","","","","","",""
4278,"NA",-1,1299,199,"NA","Cristina","","","","","","","","","",""
4328,"NA",-1,1286,203,"NA","Cristina","","","","","","","","","",""
4378,"NA",-1,1222,218,"NA","Cristina","","","","","","","","","",""
4428,"NA",-1,1125,220,"NA","Cristina","","","","","","","","","",""
4478,"NA",-1,1069,224,"NA","Cristina","","","","","","","","","",""
4529,"NA",-1,1009,227,"NA","Cristina","","","","","","","","","",""
4578,"NA",-1,884,235,"NA","Cristina","","","","","","","","","",""
4628,"100","30",822,241,"Nu","Cristina","local_coherence"," sistem ",238.03125,797.90625,262.03125,857.96875,"","","",""
4678,"100","28",749,239,"Nu","Cristina","local_coherence"," fel ",238.03125,746.328125,262.03125,772,"","","",""
4728,"NA",-1,712,236,"NA","Cristina","","","","","","","","","",""
4778,"NA",-1,697,236,"NA","Cristina","","","","","","","","","",""
4828,"100","25",677,239,"Nu","Cristina","local_coherence"," și ",238.03125,667.703125,262.03125,685.65625,"","","",""
4878,"100","24",643,246,"Nu","Cristina","local_coherence"," rădăcini ",238.03125,595.625,262.03125,667.703125,"","","",""
4928,"100","24",610,252,"Nu","Cristina","local_coherence"," rădăcini ",238.03125,595.625,262.03125,667.703125,"","","",""
4991,"100","24",605,253,"Nu","Cristina","local_coherence"," rădăcini ",238.03125,595.625,262.03125,667.703125,"","","",""
5028,"100","24",604,253,"Nu","Cristina","local_coherence"," rădăcini ",238.03125,595.625,262.03125,667.703125,"","","",""
5078,"100","24",621,253,"Nu","Cristina","local_coherence"," rădăcini ",238.03125,595.625,262.03125,667.703125,"","","",""
5128,"100","25",667,253,"Nu","Cristina","local_coherence"," și ",238.03125,667.703125,262.03125,685.65625,"","","",""
5178,"100","26",712,253,"Nu","Cristina","local_coherence"," nici ",238.03125,685.65625,262.03125,719.390625,"","","",""
5228,"100","27",744,253,"Nu","Cristina","local_coherence"," un ",238.03125,719.390625,262.03125,746.328125,"","","",""
