responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,experiment,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
1439,"22","14",1062,134,"Nu","cris","local_coherence"," desktop, ",116.66667175292969,1030.449951171875,141.46665954589844,1103.1666259765625,"","","",""
1503,"22","14",1075,136,"Nu","cris","local_coherence"," desktop, ",116.66667175292969,1030.449951171875,141.46665954589844,1103.1666259765625,"","","",""
1564,"22","14",1077,140,"Nu","cris","local_coherence"," desktop, ",116.66667175292969,1030.449951171875,141.46665954589844,1103.1666259765625,"","","",""
1627,"NA",-1,1073,152,"NA","cris","","","","","","","","","",""
1690,"NA",-1,1045,167,"NA","cris","","","","","","","","","",""
1754,"22","26",1003,178,"Nu","cris","local_coherence"," informațiile ",171.6666717529297,938.2000122070312,196.46665954589844,1040.7000122070312,"","","",""
1815,"NA",-1,867,164,"NA","cris","","","","","","","","","",""
1878,"NA",-1,694,154,"NA","cris","","","","","","","","","",""
1942,"NA",-1,603,162,"NA","cris","","","","","","","","","",""
2004,"NA",-1,524,162,"NA","cris","","","","","","","","","",""
2065,"22","16",484,172,"Nu","cris","local_coherence"," posibil ",171.6666717529297,447.566650390625,196.46665954589844,507.83331298828125,"","","",""
2128,"22","16",456,185,"Nu","cris","local_coherence"," posibil ",171.6666717529297,447.566650390625,196.46665954589844,507.83331298828125,"","","",""
2190,"22","15",440,191,"Nu","cris","local_coherence"," este ",171.6666717529297,407.4666748046875,196.46665954589844,447.5666809082031,"","","",""
2255,"22","16",457,195,"Nu","cris","local_coherence"," posibil ",171.6666717529297,447.566650390625,196.46665954589844,507.83331298828125,"","","",""
2317,"22","18",537,195,"Nu","cris","local_coherence"," doriți ",171.6666717529297,531.2333374023438,196.46665954589844,581.1000061035156,"","","",""
2379,"22","19",587,199,"Nu","cris","local_coherence"," să ",171.6666717529297,581.0999755859375,196.46665954589844,604.4999694824219,"","","",""
2443,"22","19",587,200,"Nu","cris","local_coherence"," să ",171.6666717529297,581.0999755859375,196.46665954589844,604.4999694824219,"","","",""
2507,"22","19",587,200,"Nu","cris","local_coherence"," să ",171.6666717529297,581.0999755859375,196.46665954589844,604.4999694824219,"","","",""
2568,"22","19",587,202,"Nu","cris","local_coherence"," să ",171.6666717529297,581.0999755859375,196.46665954589844,604.4999694824219,"","","",""
2632,"NA",-1,655,208,"NA","cris","","","","","","","","","",""
2695,"22","21",712,206,"Nu","cris","local_coherence"," operatorului ",171.6666717529297,659.6500244140625,196.46665954589844,769.9500274658203,"","","",""
2757,"22","22",778,206,"Nu","cris","local_coherence"," opțiunea ",171.6666717529297,769.9500122070312,196.46665954589844,850.2166748046875,"","","",""
2820,"22","22",828,206,"Nu","cris","local_coherence"," opțiunea ",171.6666717529297,769.9500122070312,196.46665954589844,850.2166748046875,"","","",""
2881,"22","24",883,206,"Nu","cris","local_coherence"," a ",171.6666717529297,876.11669921875,196.46665954589844,890.9000244140625,"","","",""
2944,"22","26",946,205,"Nu","cris","local_coherence"," informațiile ",171.6666717529297,938.2000122070312,196.46665954589844,1040.7000122070312,"","","",""
3006,"22","26",986,202,"Nu","cris","local_coherence"," informațiile ",171.6666717529297,938.2000122070312,196.46665954589844,1040.7000122070312,"","","",""
3069,"22","27",1042,202,"Nu","cris","local_coherence"," introduse ",171.6666717529297,1040.699951171875,196.46665954589844,1121.8666229248047,"","","",""
3132,"22","27",1090,202,"Nu","cris","local_coherence"," introduse ",171.6666717529297,1040.699951171875,196.46665954589844,1121.8666229248047,"","","",""
3195,"22","27",1090,202,"Nu","cris","local_coherence"," introduse ",171.6666717529297,1040.699951171875,196.46665954589844,1121.8666229248047,"","","",""
3258,"NA",-1,967,226,"NA","cris","","","","","","","","","",""
3322,"22","35",666,230,"Nu","cris","local_coherence"," program. ",226.6666717529297,625.1666870117188,251.46665954589844,704.0666809082031,"","","",""
3385,"22","30",500,233,"Nu","cris","local_coherence"," în ",226.6666717529297,482.79998779296875,251.46665954589844,503.24998474121094,"","","",""
3447,"22","29",449,239,"Nu","cris","local_coherence"," trudă ",226.6666717529297,431.8999938964844,251.46665954589844,482.8000030517578,"","","",""
3509,"22","28",424,239,"Nu","cris","local_coherence"," cu ",226.6666717529297,407.4666748046875,251.46665954589844,431.90000915527344,"","","",""
3572,"22","28",427,239,"Nu","cris","local_coherence"," cu ",226.6666717529297,407.4666748046875,251.46665954589844,431.90000915527344,"","","",""
3634,"22","31",510,253,"Nu","cris","local_coherence"," loc ",226.6666717529297,503.25,251.46665954589844,532.1000061035156,"","","",""
3698,"22","33",590,254,"Nu","cris","local_coherence"," iasă ",226.6666717529297,555.5,251.46665954589844,593.6499938964844,"","","",""
3761,"22","34",614,254,"Nu","cris","local_coherence"," din ",226.6666717529297,593.6500244140625,251.46665954589844,625.1667022705078,"","","",""
3823,"22","35",654,254,"Nu","cris","local_coherence"," program. ",226.6666717529297,625.1666870117188,251.46665954589844,704.0666809082031,"","","",""
3886,"22","35",682,258,"Nu","cris","local_coherence"," program. ",226.6666717529297,625.1666870117188,251.46665954589844,704.0666809082031,"","","",""
6480,"","","","","","","","","","","","","Nu","","",""
465,"NA",-1,347,159,"NA","cris","","","","","","","","","",""
526,"NA",-1,366,146,"NA","cris","","","","","","","","","",""
588,"NA",-1,407,138,"NA","cris","","","","","","","","","",""
650,"60","0",453,135,"Nu","cris","local_coherence"," Adesea, ",116.66667175292969,407.4666748046875,141.46665954589844,478.5500183105469,"","","",""
711,"60","1",498,142,"Nu","cris","local_coherence"," paginile ",116.66667175292969,478.54998779296875,141.46665954589844,550.6833190917969,"","","",""
775,"60","1",519,142,"Nu","cris","local_coherence"," paginile ",116.66667175292969,478.54998779296875,141.46665954589844,550.6833190917969,"","","",""
837,"60","1",546,142,"Nu","cris","local_coherence"," paginile ",116.66667175292969,478.54998779296875,141.46665954589844,550.6833190917969,"","","",""
899,"60","3",585,142,"Nu","cris","local_coherence"," discuții ",116.66667175292969,576.5833129882812,141.46665954589844,641.1499786376953,"","","",""
961,"60","3",621,142,"Nu","cris","local_coherence"," discuții ",116.66667175292969,576.5833129882812,141.46665954589844,641.1499786376953,"","","",""
1025,"60","4",646,142,"Nu","cris","local_coherence"," ale ",116.66667175292969,641.1500244140625,141.46665954589844,670.7333679199219,"","","",""
