responseTime,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
,,,,,,,,,,,,
1799,-1,347,230,NA,NA,NA,NA,NA,NA,1740035208062,1740039019278,3811216
3635,0,473,122,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3685,1,478,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
3751,1,483,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
3802,1,492,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
3852,1,497,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
3903,1,498,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
3969,1,510,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
4019,1,517,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
4069,1,520,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
4133,1,525,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
4195,1,528,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
4257,1,532,122,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
4319,2,551,123,din,109.16667175293,547.849975585938,133.966659545898,579.366638183594,NA,null,null,null
4381,2,558,123,din,109.16667175293,547.849975585938,133.966659545898,579.366638183594,NA,null,null,null
4443,2,558,123,din,109.16667175293,547.849975585938,133.966659545898,579.366638183594,NA,null,null,null
4506,2,558,123,din,109.16667175293,547.849975585938,133.966659545898,579.366638183594,NA,null,null,null
4568,2,558,123,din,109.16667175293,547.849975585938,133.966659545898,579.366638183594,NA,null,null,null
4629,2,562,123,din,109.16667175293,547.849975585938,133.966659545898,579.366638183594,NA,null,null,null
4690,2,566,122,din,109.16667175293,547.849975585938,133.966659545898,579.366638183594,NA,null,null,null
4753,2,570,122,din,109.16667175293,547.849975585938,133.966659545898,579.366638183594,NA,null,null,null
4812,2,578,122,din,109.16667175293,547.849975585938,133.966659545898,579.366638183594,NA,null,null,null
4874,3,584,122,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
4936,3,588,122,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
4998,3,592,123,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
5059,3,616,128,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
5120,3,638,131,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
5182,3,643,131,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
5242,3,650,131,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
5306,3,654,131,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
5367,3,659,131,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
